,All natural disasters (Occurrence),Drought (Occurrence),Earthquake (Occurrence),Extreme temperature (Occurrence),Extreme weather (Occurrence),Flood (Occurrence),Impact (Occurrence),Landslide (Occurrence),Mass movement (dry) (Occurrence),Volcanic activity (Occurrence),Wildfire (Occurrence),LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1957,29.0,0.0,8.0,0.0,9.0,11.0,0.0,0.0,0.0,1.0,0.0,8.7325,0.158,14.381916666666667,0.12041666666666666,3.001,0.15575,15.374083333333331,0.08441666666666665,44.38,1.7483333333333333,3.418333333333333,28.091666666666665,3.6475000000000004,394.7966666666666,15.549999999999999,30.40583333333333,15.614166666666668
1958,23.0,0.0,4.0,2.0,13.0,3.0,0.0,1.0,0.0,0.0,0.0,8.77375,0.10433333333333333,14.477499999999997,0.161,3.1145,0.1725833333333333,15.382083333333334,0.0745,46.23833333333332,1.7483333333333333,3.0,28.85833333333333,3.3158333333333334,400.2058333333334,15.137500000000003,25.977500000000003,15.142499999999998
1959,33.0,0.0,3.0,0.0,16.0,13.0,0.0,1.0,0.0,0.0,0.0,8.732666666666665,0.10716666666666665,14.4165,0.15008333333333332,3.1085833333333333,0.14916666666666667,15.340499999999999,0.07391666666666664,57.37916666666666,1.7933333333333337,3.2908333333333335,29.14999999999999,4.333333333333333,491.7591666666667,15.368333333333338,28.2,18.365833333333335
1960,40.0,1.0,9.0,0.0,20.0,7.0,0.0,2.0,0.0,1.0,0.0,8.58375,0.09349999999999999,14.317416666666665,0.14941666666666667,2.932583333333332,0.1375833333333333,15.291916666666665,0.06933333333333334,55.849999999999994,1.9374999999999998,3.3075000000000006,29.575000000000003,4.116666666666666,471.82666666666665,16.368333333333332,27.942500000000006,17.418333333333333
1961,28.0,1.0,2.0,1.0,14.0,8.0,0.0,2.0,0.0,0.0,0.0,8.797666666666666,0.09699999999999999,14.514916666666664,0.16574999999999998,3.12875,0.18174999999999997,15.379916666666668,0.06716666666666665,66.2725,1.9591666666666665,3.0966666666666662,29.89166666666667,3.8825,553.8525000000001,16.3725,25.883333333333336,20.455833333333334
1962,28.0,0.0,3.0,1.0,13.0,8.0,0.0,2.0,1.0,0.0,0.0,8.745916666666666,0.13291666666666666,14.54016666666667,0.15891666666666665,3.0085833333333327,0.20441666666666666,15.325583333333334,0.0725,62.38249999999999,2.068333333333333,3.4699999999999993,30.249999999999996,3.9458333333333333,515.3741666666666,17.081666666666667,28.655000000000005,18.823333333333334
1963,41.0,1.0,3.0,2.0,21.0,8.0,0.0,2.0,1.0,3.0,0.0,8.856,0.09233333333333332,14.612250000000003,0.15275000000000002,3.1575833333333336,0.18241666666666667,15.376666666666665,0.06833333333333334,69.865,2.1975000000000002,3.853333333333333,30.625,4.0025,569.8550000000001,17.925,31.430833333333336,20.25916666666667
1964,60.0,7.0,7.0,0.0,22.0,22.0,0.0,1.0,0.0,1.0,0.0,8.409666666666666,0.09249999999999999,14.156833333333333,0.15633333333333335,2.768833333333333,0.15699999999999995,15.117083333333332,0.06516666666666666,81.36833333333334,2.3941666666666666,4.338333333333332,31.016666666666666,4.1866666666666665,655.3466666666667,19.282500000000002,34.94166666666667,22.5525
1965,61.0,7.0,7.0,1.0,19.0,19.0,0.0,5.0,1.0,1.0,1.0,8.527416666666667,0.10883333333333334,14.268416666666667,0.1845,2.841416666666667,0.19516666666666663,15.195750000000002,0.06725000000000002,88.16999999999997,2.6166666666666667,4.869166666666666,31.50833333333333,4.2825,699.0783333333334,20.746666666666666,38.60166666666667,23.262500000000006
1966,80.0,9.0,11.0,2.0,28.0,23.0,0.0,4.0,0.0,2.0,1.0,8.599333333333332,0.09225,14.325916666666666,0.12725,2.8994166666666668,0.13408333333333333,15.264666666666665,0.06366666666666668,85.25666666666666,2.83,5.435,32.45833333333333,4.923333333333333,656.7341666666667,21.78166666666667,41.830000000000005,21.30166666666667
1967,70.0,5.0,10.0,0.0,25.0,26.0,0.0,2.0,0.0,0.0,2.0,8.700083333333334,0.08366666666666667,14.4065,0.12591666666666668,3.037083333333333,0.15175,15.294166666666667,0.059250000000000004,91.92833333333333,2.9058333333333337,5.370833333333334,33.35833333333334,5.073333333333333,688.3483333333334,21.765,40.23250000000001,21.605
1968,77.0,7.0,14.0,2.0,25.0,20.0,0.0,4.0,0.0,2.0,3.0,8.516333333333334,0.11166666666666668,14.164250000000003,0.13058333333333333,2.85725,0.1515,15.263916666666665,0.060166666666666674,98.69416666666666,2.9975,5.571666666666668,34.78333333333334,5.645833333333333,708.5591666666668,21.530833333333334,40.014166666666675,21.485000000000003
1969,62.0,10.0,8.0,0.0,25.0,14.0,0.0,1.0,0.0,2.0,2.0,8.595083333333333,0.08516666666666667,14.212083333333332,0.1515,2.962916666666666,0.19575,15.390499999999998,0.055166666666666676,97.83999999999999,3.1275,5.8308333333333335,36.68333333333334,6.670833333333333,666.9291666666667,21.300833333333333,39.721666666666664,19.4275
1970,77.0,2.0,11.0,0.0,24.0,31.0,0.0,5.0,1.0,0.0,3.0,8.700916666666666,0.07558333333333332,14.403250000000002,0.13183333333333336,3.04275,0.12166666666666669,15.332666666666666,0.05325000000000001,83.22,3.171666666666667,5.464166666666666,38.824999999999996,7.348333333333334,535.7516666666667,20.41416666666667,35.18749999999999,15.1825
1971,61.0,7.0,5.0,1.0,22.0,15.0,0.0,5.0,1.0,3.0,2.0,8.59925,0.09791666666666667,14.352750000000002,0.14966666666666664,2.9622499999999996,0.15808333333333333,15.200000000000001,0.05616666666666667,98.28333333333335,3.098333333333333,5.37,40.49166666666667,6.159166666666667,606.4925000000001,19.119999999999994,33.1275,16.865833333333335
1972,63.0,7.0,5.0,2.0,26.0,15.0,0.0,5.0,0.0,0.0,3.0,8.499583333333334,0.09533333333333334,14.164916666666665,0.14141666666666666,2.844833333333334,0.16208333333333336,15.292916666666668,0.055833333333333346,109.20833333333333,3.0858333333333334,6.0249999999999995,41.81666666666667,6.21,652.3383333333333,18.437500000000004,35.987500000000004,17.768333333333334
1973,60.0,2.0,4.0,3.0,22.0,20.0,0.0,5.0,0.0,1.0,3.0,8.948249999999998,0.10074999999999996,14.565999999999997,0.13125,3.3701666666666656,0.11999999999999998,15.404750000000002,0.054916666666666676,107.42333333333333,3.240833333333333,7.324999999999999,44.400000000000006,6.8425,605.595,18.2375,41.17166666666667,16.1475
1974,68.0,4.0,4.0,0.0,28.0,19.0,0.0,10.0,0.0,0.0,3.0,8.4675,0.1045,14.08191666666667,0.12266666666666669,2.9009166666666673,0.11858333333333333,15.168083333333334,0.056250000000000015,82.5525,3.5141666666666667,8.714166666666667,49.30833333333334,7.557500000000002,420.5783333333333,17.814999999999998,44.156666666666666,10.925833333333335
1975,63.0,1.0,4.0,3.0,28.0,17.0,0.0,5.0,0.0,3.0,2.0,8.744833333333334,0.09708333333333334,14.383666666666665,0.13325,3.121083333333333,0.12775,15.238666666666667,0.055333333333333345,86.15583333333332,3.6858333333333335,8.11,53.81666666666667,7.9875,399.8008333333333,17.116666666666664,37.69166666666667,10.235833333333334
1976,91.0,6.0,20.0,0.0,36.0,17.0,0.0,6.0,0.0,5.0,1.0,8.347249999999999,0.10058333333333334,14.008000000000001,0.15075,2.734166666666667,0.1430833333333333,15.131083333333335,0.05741666666666667,102.02166666666666,3.806666666666666,9.18,56.90833333333334,7.611666666666667,447.8975,16.709166666666665,40.27583333333334,11.545
1977,121.0,16.0,14.0,1.0,32.0,48.0,0.0,3.0,0.0,5.0,2.0,8.850249999999999,0.08466666666666665,14.4855,0.12500000000000003,3.294583333333333,0.14291666666666666,15.40825,0.05300000000000001,98.21,4.378333333333334,10.443333333333333,60.60833333333333,7.419166666666666,405.1758333333333,18.041666666666664,43.03916666666666,10.433333333333335
1978,115.0,9.0,9.0,1.0,42.0,47.0,0.0,2.0,0.0,2.0,3.0,8.692749999999998,0.10383333333333332,14.28125,0.15583333333333335,3.1709166666666664,0.19175,15.300916666666666,0.055500000000000015,96.01999999999998,4.916666666666667,11.392499999999998,65.23333333333333,8.410000000000002,367.64500000000004,18.83,43.61833333333333,9.378333333333334
1979,120.0,11.0,25.0,4.0,31.0,34.0,0.0,7.0,0.0,4.0,4.0,8.733416666666665,0.08641666666666666,14.457750000000003,0.15558333333333335,3.2000833333333336,0.16783333333333336,15.414166666666667,0.047499999999999994,103.0225,5.376666666666668,13.98166666666667,72.575,9.4425,354.77833333333336,18.51,48.10583333333333,8.926666666666666
